algoritmo,np,workers,N,nH,rep,tiempo_us
FxC,4,3,768,1,18,876589
FxC,4,3,768,1,19,898887
FxC,4,3,768,1,20,920351
FxC,4,3,768,1,21,884146
FxC,4,3,768,1,22,874319
FxC,4,3,768,1,23,900945
FxC,4,3,768,1,24,881863
FxC,4,3,768,1,25,895243
FxC,4,3,768,1,26,966498
FxC,4,3,768,1,27,882866
FxC,4,3,768,1,28,898861
FxC,4,3,768,1,29,901201
FxC,4,3,768,1,30,903168
FxC,4,3,768,2,1,870505
FxC,4,3,768,2,2,849323
FxC,4,3,768,2,3,838418
FxC,4,3,768,2,4,872506
FxC,4,3,768,2,5,889778
FxC,4,3,768,2,6,851268
FxC,4,3,768,2,7,872232
FxC,4,3,768,2,8,912888
FxC,4,3,768,2,9,886604
FxC,4,3,768,2,10,875919
FxC,4,3,768,2,11,823068
FxC,4,3,768,2,12,880378
FxC,4,3,768,2,13,836788
FxC,4,3,768,2,14,896170
FxC,4,3,768,2,15,836840
FxC,4,3,768,2,16,802087
FxC,4,3,768,2,17,903955
FxC,4,3,768,2,18,822673
FxC,4,3,768,2,19,825697
FxC,4,3,768,2,20,824514
FxC,4,3,768,2,21,850429
FxC,4,3,768,2,22,772542
FxC,4,3,768,2,23,809493
FxC,4,3,768,2,24,797107
FxC,4,3,768,2,25,850267
FxC,4,3,768,2,26,807926
FxC,4,3,768,2,27,830484
FxC,4,3,768,2,28,852512
FxC,4,3,768,2,29,848103
FxC,4,3,768,2,30,844472
FxC,4,3,768,4,1,702396
FxC,4,3,768,4,2,754128
FxC,4,3,768,4,3,714383
FxC,4,3,768,4,4,741948
FxC,4,3,768,4,5,720629
FxC,4,3,768,4,6,741409
FxC,4,3,768,4,7,738130
FxC,4,3,768,4,8,737429
FxC,4,3,768,4,9,721369
FxC,4,3,768,4,10,732113
FxC,4,3,768,4,11,725308
FxC,4,3,768,4,12,702744
FxC,4,3,768,4,13,737529
FxC,4,3,768,4,14,717124
FxC,4,3,768,4,15,724722
FxC,4,3,768,4,16,737239
FxC,4,3,768,4,17,720979
FxC,4,3,768,4,18,719803
FxC,4,3,768,4,19,724918
FxC,4,3,768,4,20,715664
FxC,4,3,768,4,21,728012
FxC,4,3,768,4,22,699555
FxC,4,3,768,4,23,721449
FxC,4,3,768,4,24,715414
FxC,4,3,768,4,25,720781
FxC,4,3,768,4,26,697023
FxC,4,3,768,4,27,734069
FxC,4,3,768,4,28,724457
FxC,4,3,768,4,29,738866
FxC,4,3,768,4,30,741569
FxC,4,3,1536,1,1,14242092
FxC,4,3,1536,1,2,14345176
FxC,4,3,1536,1,3,13993000
FxC,4,3,1536,1,4,14293223
FxC,4,3,1536,1,5,14024333
FxC,4,3,1536,1,6,14297416
FxC,4,3,1536,1,7,13421619
FxC,4,3,1536,1,8,14073199
FxC,4,3,1536,1,9,14433347
FxC,4,3,1536,1,10,14291776
FxC,4,3,1536,1,11,13892471
FxC,4,3,1536,1,12,14715440
FxC,4,3,1536,1,13,13927590
FxC,4,3,1536,1,14,13661435
FxC,4,3,1536,1,15,14403311
FxC,4,3,1536,1,16,14363277
FxC,4,3,1536,1,17,14007661
FxC,4,3,1536,1,18,13530433
FxC,4,3,1536,1,19,13581338
FxC,4,3,1536,1,20,14000517
FxC,4,3,1536,1,21,14247305
FxC,4,3,1536,1,22,13957847
FxC,4,3,1536,1,23,14251387
FxC,4,3,1536,1,24,14133889
FxC,4,3,1536,1,25,13942928
FxC,4,3,1536,1,26,14113686
FxC,4,3,1536,1,27,13896273
FxC,4,3,1536,1,28,14193068
FxC,4,3,1536,1,29,14386401
FxC,4,3,1536,1,30,14547788
FxC,4,3,1536,2,1,11552140
FxC,4,3,1536,2,2,12065448
FxC,4,3,1536,2,3,12479868
FxC,4,3,1536,2,4,12563538
FxC,4,3,1536,2,5,11555707
FxC,4,3,1536,2,6,11450859
FxC,4,3,1536,2,7,11708590
FxC,4,3,1536,2,8,11920999
FxC,4,3,1536,2,9,11638357
FxC,4,3,1536,2,10,12206619
FxC,4,3,1536,2,11,11224913
FxC,4,3,1536,2,12,12139191
FxC,4,3,1536,2,13,11709867
FxC,4,3,1536,2,14,11809892
FxC,4,3,1536,2,15,11631568
FxC,4,3,1536,2,16,12202461
FxC,4,3,1536,2,17,12043195
FxC,4,3,1536,2,18,11670205
FxC,4,3,1536,2,19,11722777
FxC,4,3,1536,2,20,12385725
FxC,4,3,1536,2,21,11693579
FxC,4,3,1536,2,22,11759858
FxC,4,3,1536,2,23,11818852
FxC,4,3,1536,2,24,12140506
FxC,4,3,1536,2,25,11455542
FxC,4,3,1536,2,26,11867838
FxC,4,3,1536,2,27,11854845
FxC,4,3,1536,2,28,11760365
FxC,4,3,1536,2,29,11886100
FxC,4,3,1536,2,30,11838654
FxC,4,3,1536,4,1,10232340
FxC,4,3,1536,4,2,10266231
FxC,4,3,1536,4,3,10637354
FxC,4,3,1536,4,4,10260257
FxC,4,3,1536,4,5,10235341
FxC,4,3,1536,4,6,10503114
FxC,4,3,1536,4,7,10517016
FxC,4,3,1536,4,8,10400565
FxC,4,3,1536,4,9,10339247
FxC,4,3,1536,4,10,10505600
FxC,4,3,1536,4,11,10205608
FxC,4,3,1536,4,12,10511006
FxC,4,3,1536,4,13,10380200
FxC,4,3,1536,4,14,10426136
FxC,4,3,1536,4,15,10457592
FxC,4,3,1536,4,16,10247530
FxC,4,3,1536,4,17,10423907
FxC,4,3,1536,4,18,10248681
FxC,4,3,1536,4,19,10063874
FxC,4,3,1536,4,20,10507902
FxC,4,3,1536,4,21,10939477
FxC,4,3,1536,4,22,10200785
FxC,4,3,1536,4,23,10243192
FxC,4,3,1536,4,24,10369767
FxC,4,3,1536,4,25,10181956
FxC,4,3,1536,4,26,10359619
FxC,4,3,1536,4,27,10399997
FxC,4,3,1536,4,28,10446541
FxC,4,3,1536,4,29,10008760
FxC,4,3,1536,4,30,10310723
